high0	high1	high2	high3	high4	high5	low0	low1	low2	low3	low4	low5	canver.plasmid	early0	early1	early2	unsorted1	unsorte21	unsorted3	unsorted4	unsorted5
1252	95	357	636	612	1115	1425	291	909	292	2100	1710	666	1357	1115	286	352	643	407	583	512
1072	429	519	540	731	1196	1377	445	1078	296	2020	1977	651	1050	885	284	392	1078	349	651	582
3395	324	433	600	321	870	1742	246	343	159	970	1100	720	1741	1412	198	254	491	378	349	403
854	73	117	251	296	623	602	116	351	202	595	875	315	664	496	134	107	276	193	230	228
3094	319	581	1122	883	1243	1603	238	688	383	1817	2199	726	1833	1077	257	188	796	873	666	676
534	732	266	534	377	816	749	246	368	287	847	923	329	756	577	149	286	360	314	339	354
1880	444	178	853	408	1196	1609	139	354	181	1923	2778	549	1261	805	205	187	430	558	616	784
797	341	124	647	277	669	959	295	757	305	1388	2831	393	933	595	178	298	531	403	529	613
830	121	279	736	441	995	901	156	1255	337	1560	1970	417	923	654	173	150	1091	492	615	554
634	271	207	488	259	315	710	384	291	83	715	958	334	572	570	126	286	289	267	237	252
444	82	290	300	323	397	441	225	301	115	821	883	313	565	473	98	150	281	230	290	272
1306	372	232	178	419	417	662	88	252	98	630	833	563	985	834	190	70	391	224	224	201
1364	353	1798	605	397	838	1142	160	430	172	932	1896	561	1272	1008	191	199	986	267	329	381
2176	1135	424	418	677	608	1224	345	481	123	1555	1183	607	1512	1264	211	665	499	382	426	404
1545	122	99	413	599	905	825	114	337	96	833	508	447	1003	775	188	147	463	156	255	277
4813	322	1171	497	843	1442	1683	268	764	257	1171	1523	715	1964	1356	275	254	999	528	348	431
4216	428	857	531	549	969	1579	304	734	186	972	1109	600	1988	1229	207	375	797	521	383	486
4563	265	777	501	639	1176	1378	229	732	234	1104	1229	630	1702	1203	247	398	886	307	342	341
3021	101	322	486	516	688	1277	118	558	61	746	1027	600	1438	1162	187	175	528	298	357	370
5832	326	918	1062	943	1493	2578	460	889	296	1422	2384	1081	2625	2232	415	401	734	615	479	785
2323	253	677	431	476	779	1141	72	263	60	588	693	440	1054	854	196	140	485	297	307	241
2890	494	513	377	717	933	1444	212	402	151	1220	1338	663	1716	1322	239	246	583	377	379	316
1925	175	258	185	399	347	916	111	143	78	541	943	342	1017	680	126	93	244	162	181	198
2467	204	521	457	539	1141	1689	193	487	203	1228	1185	687	1550	1312	248	264	826	306	381	389
197	113	418	385	437	972	492	379	797	225	1552	1701	320	325	392	142	313	741	188	416	272
4450	580	1006	522	583	1362	2518	395	984	113	1065	2299	876	2517	1934	292	545	861	488	415	549
5219	646	533	719	1467	1603	2603	566	1050	482	2986	3298	1083	3058	2181	402	637	930	804	1183	992
1683	199	578	979	603	824	1216	281	622	212	1235	1319	533	1316	1012	204	223	590	573	432	432
671	123	527	456	423	683	791	203	730	168	837	1321	411	673	566	167	191	738	243	281	341
659	81	598	661	280	601	577	68	669	181	447	1024	448	719	642	162	105	589	305	233	269
735	164	339	408	580	790	744	122	455	129	1188	1226	604	1009	844	200	136	663	236	466	359
2686	211	1184	680	627	1249	1905	238	903	228	1585	1949	639	1743	1280	213	257	923	270	524	492
2616	176	1046	848	848	1273	2146	346	444	310	1654	2286	848	2032	1532	317	433	808	575	517	585
2067	504	398	375	433	1262	1501	310	925	236	1491	2171	660	1754	1329	303	406	696	503	528	578
385	318	424	496	308	870	399	191	530	97	885	1363	367	575	488	134	224	830	268	307	285
1966	572	528	947	614	1472	1424	519	1075	263	1355	1576	818	1717	1421	295	489	801	592	420	526
203	342	278	481	365	820	387	238	427	237	1086	1535	361	429	339	140	258	481	208	363	263
1410	126	747	487	202	1002	994	69	374	215	997	1079	627	1223	1016	217	131	556	381	218	436
2407	269	463	584	745	1460	1865	356	566	231	1722	2058	769	1965	1296	310	294	469	546	490	623
515	108	335	330	324	748	563	138	143	170	708	1437	373	699	668	164	167	460	216	252	265
1643	303	178	588	491	826	1376	285	504	206	947	1386	554	1152	1037	179	233	679	336	343	331
310	22	63	230	183	248	294	69	107	19	426	235	180	266	302	63	54	99	79	129	85
1072	103	1181	507	310	838	661	130	547	181	688	1179	378	733	638	156	159	670	389	294	338
350	199	86	215	304	354	327	91	184	68	373	548	339	473	481	118	158	256	181	156	163
1921	115	339	775	940	1271	1699	267	518	395	2060	2259	586	1570	1141	254	316	634	628	609	654
1130	381	187	1300	767	1065	1210	294	697	432	1527	1714	665	1156	935	282	286	655	657	516	476
188	11	100	344	374	515	249	72	145	144	787	1045	240	443	326	103	76	412	195	242	164
903	195	460	834	635	1073	626	264	975	332	1185	1958	461	813	618	175	212	1114	430	469	428
469	73	343	624	636	687	705	109	585	164	996	962	380	621	517	147	158	829	198	383	291
515	220	206	541	627	1084	656	397	495	220	1186	1854	435	715	677	196	348	482	252	507	390
1587	55	303	381	364	607	1024	93	440	137	537	1407	500	1043	917	215	166	253	299	225	392
3326	460	208	497	393	869	1931	412	381	146	1117	2275	624	1779	1498	252	384	432	354	410	474
2809	74	566	851	396	833	1907	298	557	296	1160	1673	499	1815	1099	243	358	522	527	377	417
2448	803	881	632	721	1373	2190	569	1072	287	1910	2451	510	1675	1114	268	641	1152	540	598	508
346	372	205	361	343	504	280	240	367	79	565	1005	198	335	270	87	152	375	148	168	203
188	168	319	450	374	761	330	357	603	205	864	1601	239	287	220	110	338	455	185	435	291
1126	256	430	705	682	871	1092	260	594	194	1343	1868	391	972	587	193	279	847	292	444	442
2467	290	1234	1721	882	1958	2206	448	1080	410	2555	3809	621	1632	1163	286	468	1181	790	905	703
288	53	141	308	476	935	433	66	205	51	1096	1181	257	445	280	98	111	171	194	370	299
1070	84	235	680	370	872	714	235	472	270	824	1473	349	792	532	139	180	392	431	231	403
625	73	61	483	696	1137	639	169	112	245	1041	1802	421	669	549	196	123	180	261	442	378
44	73	27	136	214	228	71	22	76	50	409	456	119	83	65	38	42	78	63	129	84
58	31	275	243	181	429	112	73	246	93	493	714	182	128	104	69	64	311	84	160	164
1846	508	347	929	884	1667	1381	263	796	293	1952	1938	591	1447	1070	233	290	941	500	547	407
2861	402	437	952	762	1300	2196	406	915	380	1934	2150	964	2097	1843	333	410	1094	719	611	667
4022	282	712	718	829	1711	2255	380	1544	306	1772	2347	1178	2717	1938	423	350	1559	633	595	672
1622	148	152	775	399	456	1323	253	558	300	762	712	433	954	860	183	208	547	349	253	218
4963	193	254	814	1000	1288	2577	253	641	297	1622	2723	698	2063	1637	250	308	609	772	529	541
774	586	173	519	441	1020	759	174	367	245	707	1175	284	636	432	114	256	416	283	258	293
982	220	371	838	406	922	983	212	786	383	890	1478	376	1005	668	151	212	598	410	308	381
963	125	136	286	229	419	598	165	328	111	803	710	307	610	477	121	188	336	186	248	174
6376	2236	693	1223	1120	1962	3889	516	1969	360	2619	4254	1087	3149	2138	418	738	1184	876	881	1164
7772	389	788	1127	1643	2424	4883	576	927	645	3379	4040	1819	4772	3333	571	463	965	1712	1123	1382
8783	881	726	1659	1332	2487	5318	784	1449	642	2521	3250	1191	3876	2526	438	800	1854	1226	903	1015
2032	312	603	528	670	822	1238	310	546	227	1154	1824	488	1436	839	236	267	645	415	525	491
3296	828	1232	1096	950	1614	2638	594	852	446	2344	2631	1233	2451	2065	417	645	1093	800	668	815
3695	244	368	784	693	886	2390	272	872	380	1580	3160	1066	2381	1951	401	313	908	682	571	660
1625	401	557	678	462	1223	1224	296	702	351	1304	2288	487	1140	784	232	272	980	513	429	638
253	266	284	397	361	870	313	213	420	203	741	1219	240	367	281	143	245	495	163	273	290
181	273	769	308	485	674	352	260	255	128	959	1241	278	395	350	126	230	504	106	424	239
366	52	510	423	291	851	365	135	412	107	638	1000	288	492	490	113	169	575	156	234	292
2175	433	880	477	884	1452	1866	548	1418	181	1791	2746	719	1599	1165	301	576	1580	415	629	621
1452	507	509	1232	1109	1600	1711	593	1225	583	1973	3227	799	1550	1302	336	623	983	783	740	671
577	167	101	280	511	728	597	143	297	106	1121	1768	316	589	478	127	137	306	188	365	302
5158	319	224	966	814	1235	3140	494	471	315	1659	1850	920	2333	1795	291	396	510	808	555	628
1436	80	85	631	439	759	1084	178	458	71	1175	1731	320	771	559	134	143	352	274	333	379
152	72	312	337	315	470	201	246	522	193	697	1122	199	285	225	82	201	560	156	213	219
3239	758	810	1475	1191	2017	2173	687	1497	453	2755	3903	925	1959	1575	404	674	1325	745	958	740
1800	153	372	557	534	734	1382	233	672	302	1779	2084	648	1558	1043	279	248	605	425	492	469
2248	398	101	899	713	1778	1470	279	433	242	1391	1566	685	1668	1377	286	271	474	491	448	509
4256	973	811	644	771	2048	2117	505	916	235	1861	2160	792	2181	1623	386	605	1076	594	435	499
1060	341	535	387	634	943	788	169	512	297	734	985	359	826	758	197	228	651	277	298	300
1443	166	316	118	495	720	950	133	206	43	718	1021	436	1001	899	184	166	495	120	311	186
207	139	609	260	285	466	234	94	218	130	456	421	226	432	322	78	100	254	98	204	137
