Reads T0 (rep1)	Reads Tend (rep1)	Reads T0 (rep2)	Reads Tend (rep2)
329	360	372	416
274	262	398	114
257	190	220	252
302	211	368	521
82	19	101	118
105	130	130	122
793	348	911	966
546	398	506	357
705	655	828	415
220	124	257	295
121	24	218	81
221	61	272	131
338	501	357	172
243	270	342	132
162	151	322	69
84	102	127	89
70	26	66	19
1106	832	1289	859
556	313	614	387
1241	923	1516	1412
136	115	163	257
93	40	143	181
498	777	604	268
922	1180	997	1169
243	182	411	457
80	51	162	48
172	135	266	232
478	397	417	791
183	149	235	329
451	468	500	549
51	143	72	55
204	155	251	273
495	339	615	619
236	162	262	457
95	54	117	68
335	527	408	414
130	72	173	160
127	68	199	79
141	260	218	232
167	495	230	221
320	495	501	194
563	403	927	475
233	125	309	339
237	65	303	241
127	71	148	266
333	205	373	497
1294	1428	1568	1470
595	597	640	615
559	488	729	536
499	413	470	328
288	171	256	272
939	799	1022	871
88	35	79	5
399	604	519	848
164	130	213	299
201	362	284	138
278	194	398	291
251	77	302	485
425	540	424	214
148	124	146	209
86	114	116	232
666	1217	911	481
43	55	66	57
134	31	115	222
83	403	225	113
102	68	161	118
95	156	173	125
373	633	391	514
344	184	357	347
144	138	149	89
328	305	243	143
471	376	702	726
68	47	86	86
216	151	288	383
63	73	74	48
425	473	465	399
158	112	144	128
97	103	145	110
1819	1816	2043	1795
173	323	257	141
371	538	537	537
1315	1299	1471	1256
94	334	162	137
207	426	268	937
43	315	50	9
285	197	373	332
237	324	337	359
586	671	657	819
416	367	566	355
303	149	314	337
149	86	147	79
336	189	370	492
31	77	42	37
310	142	341	335
464	867	613	808
133	223	172	254
193	128	142	393
270	248	341	406
145	226	188	224
88	37	157	317
151	124	138	244
197	346	287	250
140	270	238	202
108	230	123	49
285	232	321	332
421	249	548	553
248	282	332	345
173	334	223	262
45	7	54	33
314	215	431	603
330	236	364	537
221	172	265	264
254	246	359	385
585	363	460	538
53	204	47	99
227	363	213	443
177	319	258	178
69	14	101	114
429	577	587	561
205	166	294	128
484	468	537	501
196	111	167	201
125	71	174	165
73	150	123	98
192	187	202	180
470	727	486	545
373	522	658	813
108	210	125	120
148	134	208	98
1350	1196	1439	909
458	224	494	335
227	112	254	103
743	586	973	583
435	497	727	789
526	617	685	506
150	44	147	168
154	164	275	209
82	76	91	123
41	5	40	29
326	335	405	534
